number,name,type,type_canonical,zone,from_station_code,from_station_name,to_station_code,to_station_name,distance,duration_h,duration_m,arrival,departure,return_train,sleeper,third_ac,second_ac,first_ac,first_class,chair_car
15905,KANNIYAKUMARI - DIBRUGARH Vivek Exp,Exp,Express,NFR,CAPE,KANYAKUMARI,DBRG,DIBRUGARH,4279,85,30,03:30:00,14:00:00,15906,1,1,1,0,0,0
15906,DIBRUGARH - KANNIYAKUMARI Vivek Exp,Exp,Express,NFR,DBRG,DIBRUGARH,CAPE,KANYAKUMARI,4278,82,40,10:25:00,23:45:00,15905,1,1,1,0,0,0
15927,Kamakhya Dibrugarh Express,Exp,Express,NFR,KYQ,KAMAKHYA,DBRG,DIBRUGARH,512,11,25,18:15:00,06:50:00,15928,0,0,0,0,0,0
15928,Dibrugarh Kamakhya Express,Exp,Express,NFR,DBRG,DIBRUGARH,KYQ,KAMAKHYA,512,11,35,17:35:00,06:00:00,15927,0,0,0,0,0,0
15929,CHENNAI EGMORE - DIBRUGARH Weekly Exp,Exp,Express,NFR,MS,CHENNAI EGMORE,DBRG,DIBRUGARH,3352,67,30,18:00:00,22:30:00,15930,1,1,1,0,0,0
15930,DIBRUGARH - CHENNAI EGMORE Weekly Exp,Exp,Express,NFR,DBRG,DIBRUGARH,MS,CHENNAI EGMORE,3352,68,30,20:15:00,23:45:00,15929,1,1,1,0,0,0
15933,Dibrugarh-Amritsar Weekly Express,Exp,Express,NFR,DBRG,DIBRUGARH,ASR,AMRITSAR JN,2870,61,45,20:45:00,07:00:00,,1,1,1,0,0,0
15934,Amritsar-DibrugarhTown Weekly Express,Exp,Express,NFR,ASR,AMRITSAR JN,DBRT,DIBRUGARH TOWN,2877,60,35,04:25:00,15:50:00,,1,1,1,0,0,0
15942,DIBRUGARH - JHAJHA Exp,Exp,Express,NFR,DBRG,DIBRUGARH,JAJ,JHAJHA,1710,35,15,17:50:00,06:35:00,15941,1,1,1,0,0,0
15960,DIBRUGARH - HOWRAH Kamrup Exp,Exp,Express,NFR,DBRG,DIBRUGARH,HWH,HOWRAH JN,1528,35,10,05:35:00,18:25:00,15959,1,1,1,0,0,0
16031,Andaman Express,Exp,Express,SR,MAS,CHENNAI CENTRAL,JAT,JAMMU TAWI,2800,55,55,13:10:00,05:15:00,16032,1,1,0,0,0,0
