station,interactions,mean_risk,high_risk_interactions,mean_source_delay,mean_gap,warning_rate,bottleneck_score
AJJ,195,0.4991618023775666,155,18.615384615384617,15.37948717948718,0.7948717948717948,0.5088650175198794
JU,83,0.5042493897888967,67,13.012048192771084,15.120481927710843,0.8072289156626506,0.5088482333435468
MZP,101,0.4978956628762906,72,41.15841584158416,15.514851485148515,0.7128712871287128,0.5088477140438555
NNA,42,0.4985934133524548,31,33.19047619047619,14.547619047619047,0.7380952380952381,0.5078510903983964
HUP,36,0.49951475318082106,29,14.38888888888889,18.0,0.8055555555555556,0.5075189972714943
PGI,33,0.4983627390307922,26,19.515151515151516,13.848484848484848,0.7878787878787878,0.5073740344194704
TIG,39,0.49832595563199394,30,24.17948717948718,16.384615384615383,0.7692307692307693,0.5069786148262649
KY,30,0.4989216436928503,23,24.233333333333334,14.8,0.7666666666666667,0.5065674586846056
MLMR,63,0.49838342381773837,50,16.49206349206349,18.047619047619047,0.7936507936507936,0.5057344483173773
PLG,45,0.49919352599765,36,14.333333333333334,11.822222222222223,0.8,0.5056295743336497
RKMP,157,0.4985823398326502,110,40.87261146496815,15.382165605095542,0.7006369426751592,0.5052010574895308
MML,32,0.49766927619247403,23,36.3125,16.71875,0.71875,0.5050776470447829
TUP,225,0.4984985548541058,176,18.813333333333333,14.231111111111112,0.7822222222222223,0.504959941110871
R,165,0.49740700173924246,113,44.32121212121212,14.145454545454545,0.6848484848484848,0.5037343462360371
RU,169,0.49816022207259564,124,30.615384615384617,15.088757396449704,0.7337278106508875,0.5034438508930681
RK,113,0.49980997713573905,90,13.0,16.84070796460177,0.7964601769911505,0.5033844286898231
KVZ,83,0.48237132312821673,63,30.72289156626506,14.686746987951807,0.7590361445783133,0.5032621554591516
DO,71,0.49715423517502877,56,15.915492957746478,14.929577464788732,0.7887323943661971,0.5029994007270675
FZD,39,0.49861507488464607,30,20.487179487179485,16.641025641025642,0.7692307692307693,0.5029930763627612
BWT,46,0.4973545697032288,34,29.108695652173914,15.869565217391305,0.7391304347826086,0.5029764775371508
SBP,43,0.497650673011635,31,33.81395348837209,17.11627906976744,0.7209302325581395,0.5029276204660693
AY,48,0.49947167427893135,34,36.1875,16.583333333333332,0.7083333333333334,0.5027140250589288
MVLK,34,0.4879411402811897,27,17.735294117647058,17.647058823529413,0.7941176470588235,0.5020440008551625
LKO,445,0.497000285096649,297,47.34157303370787,13.330337078651686,0.6674157303370787,0.5016796413292108
LMG,44,0.4985661004347731,34,17.65909090909091,15.75,0.7727272727272727,0.5008541301441711
JBP,270,0.5008266802695911,186,38.38148148148148,14.007407407407408,0.6888888888888889,0.5000123127091596
KWV,117,0.4953693926763536,83,35.24786324786325,15.555555555555555,0.7094017094017094,0.49993234925697067
BVRT,36,0.4817820852539939,31,0.0,16.555555555555557,0.8611111111111112,0.4992243759603303
