service_date,station,source_train,target_train,source_arr_delay,target_arr_delay,gap_minutes,source_delay_class,risk_score,risk_band
2024-09-16,SPJ,13420,12521,0.0,35.0,10.0,LOW,0.5157816817524093,ELEVATED
2024-09-16,ANND,19033,20959,0.0,4.0,12.0,LOW,0.4828667760991479,MODERATE
2024-09-30,TTR,16579,12726,0.0,0.0,2.0,LOW,0.4757233009977858,MODERATE
2024-09-19,TNA,12202,22160,39.0,29.0,14.0,HIGH,0.5049595596869602,ELEVATED
2024-09-21,RKM,12279,12616,17.0,52.0,25.0,HIGH,0.5047651857727244,ELEVATED
2024-09-12,NJP,22233,12042,0.0,3.0,17.0,LOW,0.5132472452867939,ELEVATED
2024-09-18,FGR,15039,22531,17.0,84.0,10.0,HIGH,0.5046861078258712,ELEVATED
2024-09-22,RTM,22195,12478,0.0,0.0,25.0,LOW,0.4755057872760171,MODERATE
2024-09-10,BARH,12023,3240,75.0,439.0,9.0,SEVERE,0.5185412899633529,ELEVATED
2024-09-24,PRYJ,12294,19422,0.0,0.0,19.0,LOW,0.4756543285281653,MODERATE
2024-09-13,SC,17256,12710,0.0,2.0,22.0,LOW,0.5509235625188555,HIGH
2024-09-02,DURG,12130,12129,133.0,3.0,10.0,SEVERE,0.524018433762131,ELEVATED
2024-09-18,CSMT,12128,11139,3.0,4.0,16.0,LOW,0.5988879362569441,HIGH
2024-09-26,GTL,12794,12627,30.0,11.0,16.0,HIGH,0.5046861078258712,ELEVATED
2024-09-23,TATA,12129,12859,703.0,194.0,2.0,SEVERE,0.5248666421832019,ELEVATED
2024-09-24,ABR,12480,20952,9.0,0.0,6.0,MODERATE,0.4721992844415186,MODERATE
2024-09-06,PGT,18190,13352,5.0,6.0,26.0,LOW,0.506903639649345,ELEVATED
2024-09-28,BCN,14209,14216,48.0,4.0,21.0,HIGH,0.5063923207240459,ELEVATED
2024-09-15,MMR,12618,12141,185.0,43.0,18.0,SEVERE,0.5156380307471264,ELEVATED
2024-09-20,AII,20474,12916,5.0,6.0,6.0,LOW,0.5068245617024918,ELEVATED
2024-09-07,SEO,15119,15120,5.0,21.0,6.0,LOW,0.5061671359132722,ELEVATED
2024-09-14,TPTY,12734,12863,0.0,317.0,7.0,LOW,0.5112080041863909,ELEVATED
2024-09-03,TAN,19303,19304,15.0,4.0,20.0,MODERATE,0.5042395450153772,ELEVATED
2024-09-21,VGLJ,19321,12190,0.0,225.0,10.0,LOW,0.5825233379700494,HIGH
2024-09-10,DOS,20975,12878,0.0,0.0,1.0,LOW,0.47296164326657475,MODERATE
